Feature ID	Taxon	Consensus
ESV_2784.1547	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Pseudomonadales;  f__Pseudomonadaceae;  g__Pseudomonas; s__	1.0
ESV_2825.1559	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Listeriaceae;  g__Listeria; s__	1.0
ESV_2836.1500	k__Bacteria;  p__Firmicutes;  c__Thermoanaerobacteria;  o__Thermoanaerobacterales;  f__Family_III;  g__Thermoanaerobacterium	1.0
ESV_2844.1410	k__Bacteria;  p__Proteobacteria;  c__Alphaproteobacteria;  o__Rhizobiales;  f__Xanthobacteraceae;  g__Xanthobacter; s__	0.8
ESV_2848.1535	k__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Bifidobacteriales;  f__Bifidobacteriaceae;  g__Bifidobacterium	1.0
ESV_2849.1556	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Bacillales;  f__Bacillaceae;  g__Bacillus; s__	1.0
ESV_2882.1522	k__Bacteria;  p__Deinococcota;  c__Deinococci;  o__Thermales;  f__Thermaceae;  g__Thermus;  s__Thermus_thermophilus	0.8
ESV_2884.1553	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Staphylococcales;  f__Staphylococcaceae;  g__Staphylococcus; s__	1.0
ESV_2906.1554	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Salmonella; s__	1.0
ESV_2919.1483	k__Bacteria;  p__Campilobacterota;  c__Campylobacteria;  o__Campylobacterales;  f__Helicobacteraceae;  g__Helicobacter;  s__Helicobacter_pylori	0.8
ESV_2931.1476	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Burkholderiales;  f__Rhodocyclaceae;  g__Thauera; s__	0.8
ESV_2946.1479	k__Bacteria;  p__Proteobacteria;  c__Alphaproteobacteria;  o__Caulobacterales;  f__Caulobacteraceae;  g__Caulobacter	1.0
ESV_2966.1543	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Chromatiales;  f__Sedimenticolaceae;  g__Sedimenticola; s__	0.7
ESV_2985.1485	k__Bacteria;  p__Campilobacterota;  c__Campylobacteria;  o__Campylobacterales;  f__Helicobacteraceae;  g__Helicobacter;  s__Helicobacter_pylori	1.0
ESV_3005.1538	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Escherichia-Shigella; s__	1.0
ESV_3045.1505	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Morganellaceae;  g__Proteus; s__	1.0
ESV_3058.1510	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Klebsiella; s__	1.0
ESV_3078.1477	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Carnobacteriaceae;  g__Marinilactibacillus; s__	0.6
ESV_3115.1546	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Yersiniaceae;  g__Yersinia; s__	1.0
ESV_3136.1531	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Streptococcaceae;  g__Streptococcus;  s__Streptococcus_agalactiae	1.0
ESV_3137.1562	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Vibrionales;  f__Vibrionaceae;  g__Vibrio; s__	1.0
ESV_3177.1525	k__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Corynebacteriales;  f__Corynebacteriaceae;  g__Corynebacterium;  s__Corynebacterium_diphtheriae	0.6
ESV_3189.1508	k__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Peptostreptococcales-Tissierellales;  f__Peptostreptococcaceae;  g__Clostridioides;  s__Clostridioides_difficile	1.0
ESV_3194.1587	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Leuconostocaceae;  g__Weissella; s__	1.0
ESV_3203.1538	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Pseudomonadales;  f__Pseudomonadaceae;  g__Pseudomonas	1.0
