"FLASV","idty","Kingdom","Phylum","Class","Order","Family","Genus"
"FLASV8463.1360",97.1,"Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella"
"FLASV8464.1327",89,"Bacteria","Patescibacteria","ABY1","Ca_Buchananbacteria","",""
"FLASV8465.1357",99.8,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",""
"FLASV8466.1373",99.8,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","",""
"FLASV8467.1378",97.1,"Bacteria","SAR324_cladeMarine_group_B","","","",""
"FLASV8468.1336",99.1,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Lechevalieria"
"FLASV8469.1301",96.8,"Bacteria","Patescibacteria","Parcubacteria","","",""
"FLASV8470.1334",97.3,"Bacteria","Armatimonadota","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae",""
"FLASV8471.1352",99.7,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV8472.1350",99.6,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Chryseolinea"
"FLASV8473.1345",99.5,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"FLASV8474.1309",99.6,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys"
"FLASV8475.1372",97.9,"Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"FLASV8476.1378",98,"Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"FLASV8477.1371",98.1,"Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"FLASV8478.1382",91.6,"Bacteria","Myxococcota","bacteriap25","","",""
"FLASV8479.1320",95.3,"Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"FLASV8480.1370",99,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas"
"FLASV8481.1322",98.4,"Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Ca_Solibacter"
"FLASV8482.1334",99.5,"Bacteria","Actinobacteriota","Acidimicrobiia","IMCC26256","",""
"FLASV8483.1318",90.1,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",""
"FLASV8484.1379",99.3,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"FLASV8485.1379",99.9,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"FLASV8486.1335",90.5,"Bacteria","Patescibacteria","Parcubacteria","Ca_Zambryskibacteria","",""
"FLASV8487.1312",96.3,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","",""
"FLASV8488.1357",91.1,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","",""
"FLASV8489.1354",99.2,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas"
"FLASV8490.1363",100,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"FLASV8491.1370",99.6,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae",""
"FLASV8492.1361",98.6,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Alcanivoracaceae1","Alcanivorax"
"FLASV8493.1336",98.6,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Lechevalieria"
"FLASV8494.1342",99.6,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Terrabacter"
"FLASV8495.1358",99.9,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"FLASV8496.1340",93.9,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","",""
"FLASV8497.1366",98,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Chujaibacter"
"FLASV8498.1353",99.2,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Parasediminibacterium"
"FLASV8499.1348",99.5,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces"
"FLASV8500.1354",99.3,"Bacteria","Bacteroidota","Ignavibacteria","SJA-28","",""
"FLASV8501.1349",99.6,"Bacteria","Acidobacteriota","Subgroup_5","","",""
"FLASV8502.1357",98.7,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas"
"FLASV8503.1373",98.8,"Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"FLASV8504.1353",97.8,"Bacteria","Bacteroidota","Ignavibacteria","SJA-28","",""
