Feature ID	Taxon	Confidence
ESV_1955.1501	k__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Clostridiales;  f__Clostridiaceae;  g__Clostridium_sensu_stricto_15;  s__Clostridium_cochlearium	0.9999524192946191
ESV_1960.1553	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Bacillales;  f__Bacillaceae;  g__Bacillus;  s__Bacillus_velezensis	0.9266621344195644
ESV_1998.1464	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Pseudomonadales;  f__Moraxellaceae;  g__Psychrobacter; s__	0.9059120737647111
ESV_2010.1517	k__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales;  f__Porphyromonadaceae;  g__Porphyromonas;  s__Porphyromonas_uenonis	0.9999999884944374
ESV_2014.1549	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Salmonella; s__	0.8378608870089628
ESV_2029.1553	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Morganellaceae;  g__Proteus; s__	0.9998706753328971
ESV_2041.1562	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Vibrionales;  f__Vibrionaceae;  g__Vibrio; s__	0.9112952618872878
ESV_2046.1493	k__Bacteria;  p__Chloroflexi	0.8157853387951034
ESV_2053.1554	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Burkholderiales;  f__Neisseriaceae;  g__Neisseria;  s__Neisseria_gonorrhoeae	0.9999882233981296
ESV_2068.1545	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Escherichia-Shigella; s__	0.9653378924931144
ESV_2098.1552	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Salmonella; s__	0.8783753522909151
ESV_2104.1551	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Erysipelotrichales;  f__Erysipelotrichaceae;  g__Erysipelothrix; s__	0.998983097197909
ESV_2106.1475	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Streptococcaceae;  g__Streptococcus;  s__Streptococcus_equi	0.9999999730412131
ESV_2107.1440	k__Bacteria;  p__Desulfobacterota;  c__Desulfobulbia;  o__Desulfobulbales;  f__Desulfocapsaceae;  g__Desulfocapsa;  s__Desulfocapsa_sulfexigens	0.9999734974101883
ESV_2132.1553	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Pectobacteriaceae;  g__Pectobacterium; s__	0.9990136883568389
